#Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
3,330201,1,0,NotAVase,0.006391648,0,7,0.006391648,10,20220928-144210,144504593,144505461,0.8679985,88,, Negative Answer not inhibted counter is 1 from 1 reset failed bottom border check Staircase was 0.0063916480   Staircase is 0.0050000000  ,-1,144505218,1
3,330201,1,1,NotAVase,0.005,1,7,0.005,11,20220928-144210,144515252,144516198,0.9459992,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0050000000   Staircase is 0.0066666660  ,1,144515836,1
3,330201,1,1,NotAVase,0.006666666,2,7,0.006666666,12,20220928-144210,144525558,144526536,0.9779991,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0066666660   Staircase is 0.0088888880  ,1,144526140,1
3,330201,1,0,NotAVase,0.008888888,2,8,0.008888888,13,20220928-144210,144539120,144540260,1.139999,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0088888880   Staircase is 0.0066666660  ,-1,144539923,1
3,330201,1,0,NotAVase,0.006666666,2,9,0.006666666,14,20220928-144210,144552148,144552982,0.8339982,88,, Negative Answer not inhibted counter is 1 from 1 reset failed bottom border check Staircase was 0.0066666660   Staircase is 0.0050000000  ,-1,144552707,1
3,330201,1,1,NotAVase,0.005,3,9,0.005,15,20220928-144210,144603552,144604986,1.433998,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0050000000   Staircase is 0.0066666660  ,-1,144603995,1
3,330201,1,0,NotAVase,0.006666666,3,10,0.006666666,16,20220928-144210,144614397,144615275,0.8779977,88,, Negative Answer not inhibted counter is 1 from 1 reset failed bottom border check Staircase was 0.0066666660   Staircase is 0.0050000000  ,-1,144614975,1
3,330201,1,0,NotAVase,0.005,3,11,0.005,17,20220928-144210,144624178,144625046,0.8680001,88,, Negative Answer not inhibted counter is 1 from 1 reset failed bottom border check Staircase was 0.0050000000   Staircase is 0.0050000000  ,-1,144624766,1
3,330201,1,1,NotAVase,0.005,4,11,0.005,18,20220928-144210,144635963,144636932,0.9689985,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0050000000   Staircase is 0.0066666660  ,1,144636359,1
4,99,0,NoAnswerInTime,NotAVase,,,,,,20220928-144210,144637703,144642708,-1,50,,"",0,,1
5,221019,0,0,NotAVase,5.76,0,1,-4.05,19,20220928-144210,145124776,145125865,1.088998,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 5.7600000000   Staircase is 5.1840000000  ,-1,145125557,1
5,221019,0,0,NotAVase,5.184,0,2,-4.626,20,20220928-144210,145152187,145152801,0.6139991,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 5.1840000000   Staircase is 4.6656000000  ,-1,145152284,1
6,221017,0,1,NotAVase,4.896,1,0,-4.914001,21,20220928-144210,145201746,145202683,0.9359985,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 4.8960000000   Staircase is 5.4400000000  ,1,145202400,1
7,2210101,2,0,NotAVase,4.1616,0,1,-5.6484,22,20220928-144210,145212097,145212425,0.3279999,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000  ,-1,145212116,1
7,2210101,2,0,NotAVase,3.74544,0,2,-6.06456,23,20220928-144210,145220797,145222011,1.213998,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 3.3708960000  ,-1,145221738,1
7,2210101,2,0,NotAVase,3.370896,0,3,-6.439104,24,20220928-144210,145231211,145232414,1.202998,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.3708960000   Staircase is 3.0338060000  ,-1,145232098,1
7,2210101,2,0,NotAVase,3.033806,0,4,-6.776195,25,20220928-144210,145243841,145244519,0.6779987,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.0338060000   Staircase is 2.7304250000  ,-1,145244224,1
7,2210101,2,0,NotAVase,2.730425,0,5,-7.079576,26,20220928-144210,145253081,145253493,0.4119986,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 2.7304250000   Staircase is 2.4573820000  ,-1,145253044,1
7,2210101,2,0,NotAVase,2.457382,0,6,-7.352618,27,20220928-144210,145303841,145304432,0.5910054,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 2.4573820000   Staircase is 2.2116440000  ,-1,145304120,1
7,2210101,2,0,NotAVase,2.211644,0,7,-7.598356,28,20220928-144210,145314308,145316944,2.635996,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 2.2116440000   Staircase is 1.9904790000  ,-1,145315066,1
7,2210101,2,1,NotAVase,1.990479,1,7,-7.819521,29,20220928-144210,145326455,145327005,0.5500002,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 1.9904790000   Staircase is 2.2116430000  ,1,145326632,1
7,2210101,2,0,NotAVase,2.211643,1,8,-7.598357,30,20220928-144210,145336108,145336999,0.8909985,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 2.2116430000   Staircase is 1.9904790000  ,-1,145335914,1
7,2210101,2,1,NotAVase,1.990479,2,8,-7.819521,31,20220928-144210,145345704,145346442,0.7379982,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 1.9904790000   Staircase is 2.2116430000  ,1,145346032,1
7,2210101,2,0,NotAVase,2.211643,2,9,-7.598357,32,20220928-144210,145355365,145356136,0.7709969,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 2.2116430000   Staircase is 1.9904790000  ,-1,145355308,1
7,2210101,2,0,NotAVase,1.990479,2,10,-7.819521,33,20220928-144210,145404826,145405310,0.4839991,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 1.9904790000   Staircase is 1.7914310000  ,-1,145404793,1
7,2210101,2,0,NotAVase,1.791431,2,11,-8.01857,34,20220928-144210,145414168,145414840,0.6719987,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 1.7914310000   Staircase is 1.6122880000  ,-1,145414494,1
7,2210101,2,0,NotAVase,1.612288,2,12,-8.197712,35,20220928-144210,145427195,145428150,0.9549995,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 1.6122880000   Staircase is 1.4510590000  ,-1,145427835,1
7,2210101,2,1,NotAVase,1.451059,3,12,-8.358941,36,20220928-144210,145436747,145437481,0.734,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 1.4510590000   Staircase is 1.6122880000  ,1,145437139,1
8,99,0,NoAnswerInTime,NotAVase,,,,,,20220928-144210,145438256,145443261,-1,50,,"",0,,1
9,29029,0,0,NotAVase,0.6,0,1,0.6,37,20220928-144210,145750569,145751805,1.235999,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.6000000000   Staircase is 0.4500000000  ,-1,145751435,1
9,29029,0,0,NotAVase,0.45,0,2,0.45,38,20220928-144210,145804206,145805358,1.151997,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.4500000000   Staircase is 0.3375000000  ,-1,145805055,1
10,29027,0,0,NotAVase,0.39,0,1,0.39,39,20220928-144210,145818957,145819707,0.7499978,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3900000000   Staircase is 0.2730000000  ,-1,145819440,1
11,290201,3,0,NotAVase,0.2535,0,1,0.2535,40,20220928-144210,145829928,145830791,0.862999,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000  ,-1,145830496,1
11,290201,3,0,NotAVase,0.190125,0,2,0.190125,41,20220928-144210,145842160,145843115,0.9549982,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.1425938000  ,-1,145842757,1
11,290201,3,0,NotAVase,0.1425938,0,3,0.1425938,42,20220928-144210,145853517,145854354,0.8369992,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1425938000   Staircase is 0.1069454000  ,-1,145854089,1
11,290201,3,0,NotAVase,0.1069454,0,4,0.1069454,43,20220928-144210,145903728,145904493,0.7649995,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1069454000   Staircase is 0.0802090500  ,-1,145904154,1
11,290201,3,0,NotAVase,0.08020905,0,5,0.08020905,44,20220928-144210,145914463,145915467,1.003997,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0802090500   Staircase is 0.0601567800  ,-1,145915154,1
11,290201,3,0,NotAVase,0.06015678,0,6,0.06015678,45,20220928-144210,150006064,150007193,1.128999,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0601567800   Staircase is 0.0451175900  ,-1,150006879,1
11,290201,3,1,NotAVase,0.04511759,1,6,0.04511759,46,20220928-144210,150017618,150019106,1.487999,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0451175900   Staircase is 0.0601567900  ,1,150018577,1
11,290201,3,1,NotAVase,0.06015679,2,6,0.06015679,47,20220928-144210,150037174,150037854,0.6799985,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0601567900   Staircase is 0.0802090500  ,1,150037500,1
11,290201,3,0,NotAVase,0.08020905,2,7,0.08020905,48,20220928-144210,150044891,150046253,1.361998,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0802090500   Staircase is 0.0601567800  ,-1,150045902,1
11,290201,3,0,NotAVase,0.06015678,2,8,0.06015678,49,20220928-144210,150057043,150057827,0.7839989,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0601567800   Staircase is 0.0451175900  ,-1,150057586,1
11,290201,3,0,NotAVase,0.04511759,2,9,0.04511759,50,20220928-144210,150108281,150108686,0.4050005,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0451175900   Staircase is 0.0338381900  ,-1,150108400,1
11,290201,3,0,NotAVase,0.03383819,2,10,0.03383819,51,20220928-144210,150117922,150121239,3.316995,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0338381900   Staircase is 0.0253786400  ,-1,150119241,1
11,290201,3,1,NotAVase,0.02537864,3,10,0.02537864,52,20220928-144210,150130559,150131639,1.079998,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0253786400   Staircase is 0.0338381900  ,-1,150119240,1
11,290201,3,1,NotAVase,0.03383819,4,10,0.03383819,53,20220928-144210,150140878,150142018,1.139998,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0338381900   Staircase is 0.0451175900  ,1,150131292,1
11,290201,3,1,NotAVase,0.04511759,5,10,0.04511759,54,20220928-144210,150151106,150158555,7.448989,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0451175900   Staircase is 0.0601567900  ,1,150151681,1
11,290201,3,1,NotAVase,0.06015679,6,10,0.06015679,55,20220928-144210,150345754,150346396,0.6420001,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0601567900   Staircase is 0.0802090500  ,1,150346078,1
11,290201,3,0,NotAVase,0.08020905,6,11,0.08020905,56,20220928-144210,150402970,150403454,0.4839989,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0802090500   Staircase is 0.0601567800  ,-1,150403132,1
11,290201,3,0,NotAVase,0.06015678,6,12,0.06015678,57,20220928-144210,150412967,150413528,0.5609992,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0601567800   Staircase is 0.0451175900  ,-1,150413180,1
11,290201,3,0,NotAVase,0.04511759,6,13,0.04511759,58,20220928-144210,150423484,150424297,0.8129974,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0451175900   Staircase is 0.0338381900  ,-1,150423992,1
11,290201,3,1,NotAVase,0.03383819,7,13,0.03383819,59,20220928-144210,150433549,150434537,0.9879983,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0338381900   Staircase is 0.0451175900  ,1,150434252,1
