#Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
3,290101,1,0,NotAVase,0.1069454,5,5,0.1069454,13,20221209-140504,140815344,140816166,0.8223962,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1069454000   Staircase is 0.0802090500,-1,140816110,1
3,290101,1,1,NotAVase,0.08020905,6,5,0.08020905,14,20221209-140504,140824918,140827300,2.381223,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0802090500   Staircase is 0.1069454000,1,140825992,1
3,290101,1,1,NotAVase,0.1069454,7,5,0.1069454,15,20221209-140504,140835142,140836996,1.853638,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1069454000   Staircase is 0.1425939000,1,140836769,1
3,290101,1,1,NotAVase,0.1425939,8,5,0.1425939,16,20221209-140504,140843856,140845049,1.193433,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1425939000   Staircase is 0.1901252000,1,140844781,1
3,290101,1,1,NotAVase,0.1901252,9,5,0.1901252,17,20221209-140504,140855492,140859031,3.539421,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.1901252000   Staircase is 0.2535000000,-1,140858104,1
3,290101,1,1,NotAVase,0.2535,10,5,0.2535,18,20221209-140504,140908620,140911715,3.09507,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,140911297,1
3,290101,1,1,NotAVase,0.2535,11,5,0.2535,19,20221209-140504,140920514,140921150,0.6359042,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,140920988,1
3,290101,1,1,NotAVase,0.2535,12,5,0.2535,20,20221209-140504,140931198,140933571,2.3736,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,140933042,1
3,290101,1,0,NotAVase,0.2535,12,6,0.2535,21,20221209-140504,140943316,140944745,1.428541,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000,-1,140944357,1
3,290101,1,1,NotAVase,0.190125,13,6,0.190125,22,20221209-140504,140954126,140954883,0.7565202,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.2535000000,1,140954699,1
4,99,0,NoAnswerInTime,NotAVase,,,,,,20221209-140504,140955647,141000648,-1,50,,"",0,,1
5,221019,0,1,NotAVase,5.76,1,0,-4.05,23,20221209-140504,141024651,141025521,0.869922,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 5.7600000000   Staircase is 6.4000010000,1,141025134,1
5,221019,0,0,NotAVase,6.400001,1,1,-3.409999,24,20221209-140504,141035348,141037309,1.961453,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 6.4000010000   Staircase is 5.7600010000,-1,141036849,1
6,221017,0,1,NotAVase,4.896,1,0,-4.914001,25,20221209-140504,141148207,141151642,3.434517,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 4.8960000000   Staircase is 5.4400000000,1,141151294,1
7,2210101,2,0,NotAVase,4.1616,0,1,-5.6484,26,20221209-140504,141200643,141203748,3.104978,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000,1,141151294,1
7,2210101,2,1,NotAVase,3.74544,1,1,-6.06456,27,20221209-140504,141212638,141213411,0.7734668,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 4.1616000000,1,141213237,1
7,2210101,2,1,NotAVase,4.1616,2,1,-5.6484,28,20221209-140504,141221866,141222766,0.9005693,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 4.1616000000   Staircase is 4.1616000000,1,141222673,1
7,2210101,2,0,NotAVase,4.1616,2,2,-5.6484,29,20221209-140504,141231818,141234201,2.382735,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000,-1,141233916,1
7,2210101,2,0,NotAVase,3.74544,2,3,-6.06456,30,20221209-140504,141243604,141247162,3.557434,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 3.3708960000,-1,141246175,1
7,2210101,2,1,NotAVase,3.370896,3,3,-6.439104,31,20221209-140504,141255350,141256511,1.161615,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.3708960000   Staircase is 3.7454400000,1,141256238,1
7,2210101,2,1,NotAVase,3.74544,4,3,-6.06456,32,20221209-140504,141305282,141306189,0.9068712,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 4.1616000000,1,141306032,1
7,2210101,2,0,NotAVase,4.1616,4,4,-5.6484,33,20221209-140504,141313688,141314656,0.9687254,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000,-1,141314480,1
7,2210101,2,1,NotAVase,3.74544,5,4,-6.06456,34,20221209-140504,141323038,141324622,1.583957,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 4.1616000000,1,141324491,1
7,2210101,2,0,NotAVase,4.1616,5,5,-5.6484,35,20221209-140504,141333004,141337084,4.080497,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000,-1,141336245,1
7,2210101,2,1,NotAVase,3.74544,6,5,-6.06456,36,20221209-140504,141344252,141347234,2.982417,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 4.1616000000,1,141346726,1
8,99,0,NoAnswerInTime,NotAVase,,,,,,20221209-140504,141348007,141353010,-1,50,,"",0,,1
9,33029,0,0,NotAVase,0.085,0,1,0.085,37,20221209-140504,141415428,141416232,0.8047091,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0850000000   Staircase is 0.0637500000,-1,141415878,1
9,33029,0,1,NotAVase,0.06375,1,1,0.06375,38,20221209-140504,141430866,141431548,0.6814835,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0637500000   Staircase is 0.0850000000,1,141431440,1
10,33027,0,0,NotAVase,0.05525,0,1,0.05525,39,20221209-140504,141439950,141440734,0.7840453,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0552500000   Staircase is 0.0386750000,-1,141440427,1
11,330201,3,0,NotAVase,0.0359125,0,1,0.0359125,40,20221209-140504,141449012,141450157,1.14467,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0359125000   Staircase is 0.0269343700,-1,141449932,1
11,330201,3,1,NotAVase,0.02693437,1,1,0.02693437,41,20221209-140504,141458486,141459231,0.7448875,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343700   Staircase is 0.0359125000,1,141459007,1
11,330201,3,0,NotAVase,0.0359125,1,2,0.0359125,42,20221209-140504,141508415,141509317,0.9024219,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0359125000   Staircase is 0.0269343700,-1,141508933,1
11,330201,3,0,NotAVase,0.02693437,1,3,0.02693437,43,20221209-140504,141517234,141518392,1.157735,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343700   Staircase is 0.0202007800,-1,141518120,1
11,330201,3,0,NotAVase,0.02020078,1,4,0.02020078,44,20221209-140504,141526529,141527641,1.111362,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007800   Staircase is 0.0151505800,-1,141527249,1
11,330201,3,0,NotAVase,0.01515058,1,5,0.01515058,45,20221209-140504,141535135,141536230,1.09557,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151505800   Staircase is 0.0113629300,-1,141535907,1
11,330201,3,1,NotAVase,0.01136293,2,5,0.01136293,46,20221209-140504,141545011,141546405,1.393385,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0113629300   Staircase is 0.0151505700,1,141546037,1
11,330201,3,1,NotAVase,0.01515057,3,5,0.01515057,47,20221209-140504,141554705,141558087,3.381636,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151505700   Staircase is 0.0202007600,-1,141555989,1
11,330201,3,0,NotAVase,0.02020076,3,6,0.02020076,48,20221209-140504,141607788,141610637,2.848802,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007600   Staircase is 0.0151505700,-1,141609499,1
11,330201,3,0,NotAVase,0.01515057,3,7,0.01515057,49,20221209-140504,141620928,141622129,1.200916,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151505700   Staircase is 0.0113629300,-1,141621840,1
11,330201,3,1,NotAVase,0.01136293,4,7,0.01136293,50,20221209-140504,141630794,141634173,3.378625,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0113629300   Staircase is 0.0151505700,-1,141621840,1
11,330201,3,1,NotAVase,0.01515057,5,7,0.01515057,51,20221209-140504,141642874,141644113,1.239176,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151505700   Staircase is 0.0202007600,1,141643821,1
11,330201,3,1,NotAVase,0.02020076,6,7,0.02020076,52,20221209-140504,141652679,141653403,0.723785,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007600   Staircase is 0.0269343500,1,141653075,1
11,330201,3,0,NotAVase,0.02693435,6,8,0.02693435,53,20221209-140504,141701807,141702992,1.185122,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343500   Staircase is 0.0202007600,-1,141702973,1
11,330201,3,1,NotAVase,0.02020076,7,8,0.02020076,54,20221209-140504,141712559,141713761,1.201442,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007600   Staircase is 0.0269343500,1,141713476,1
