X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
4,290101,1,1,NotAVase,0.2535,4,2,0.2535,9,20221117-153358,153936997,153947034,10.03701,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,153944529,1
4,290101,1,0,NotAVase,0.2535,4,3,0.2535,10,20221117-153358,153957785,153959595,1.810001,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000,-1,153958871,1
4,290101,1,1,NotAVase,0.190125,5,3,0.190125,11,20221117-153358,154010150,154011477,1.327,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.2535000000,1,154010911,1
4,290101,1,1,NotAVase,0.2535,6,3,0.2535,12,20221117-153358,154023044,154024148,1.104001,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,154023697,1
4,290101,1,1,NotAVase,0.2535,7,3,0.2535,13,20221117-153358,154034273,154036535,2.261704,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,154036048,1
4,290101,1,1,NotAVase,0.2535,8,3,0.2535,14,20221117-153358,154059995,154104432,4.437003,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,154102460,1
4,290101,1,0,NotAVase,0.2535,8,4,0.2535,15,20221117-153358,154114710,154116039,1.329002,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000,-1,154115598,1
4,290101,1,1,NotAVase,0.190125,9,4,0.190125,16,20221117-153358,154125860,154128633,2.773003,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.2535000000,1,154126736,1
5,11,0,NoAnswerInTime,NotAVase,,,,,,20221117-153358,154129404,154139406,-1,11,,"",0,,1
10,22,0,NoAnswerInTime,NotAVase,,,,,,20221117-153358,154556698,154606699,-1,22,,"",0,,1
11,99,0,NoAnswerInTime,NotAVase,,,,,,20221117-153358,154702027,154707027,-1,50,,"",0,,1
12,33019,0,0,NotAVase,0.085,0,1,0.085,31,20221117-153358,154715083,154716211,1.128002,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0850000000   Staircase is 0.0637500000,-1,154715727,1
12,33019,0,0,NotAVase,0.06375,0,2,0.06375,32,20221117-153358,154744938,154746566,1.628001,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0637500000   Staircase is 0.0478125000,-1,154746066,1
13,33017,0,0,NotAVase,0.05525,0,1,0.05525,33,20221117-153358,154755090,154756016,0.9260001,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0552500000   Staircase is 0.0386750000,-1,154755682,1
14,330101,3,0,NotAVase,0.0359125,0,1,0.0359125,34,20221117-153358,154804652,154805424,0.7720018,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0359125000   Staircase is 0.0269343700,-1,154805078,1
14,330101,3,0,NotAVase,0.02693437,0,2,0.02693437,35,20221117-153358,154814161,154815285,1.124001,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343700   Staircase is 0.0202007800,-1,154814954,1
14,330101,3,0,NotAVase,0.02020078,0,3,0.02020078,36,20221117-153358,154823777,154824814,1.037002,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007800   Staircase is 0.0151505800,-1,154824518,1
14,330101,3,1,NotAVase,0.01515058,1,3,0.01515058,37,20221117-153358,154834226,154835409,1.183001,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151505800   Staircase is 0.0202007700,1,154834773,1
14,330101,3,1,NotAVase,0.02020077,2,3,0.02020077,38,20221117-153358,154845155,154846349,1.194001,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007700   Staircase is 0.0269343600,1,154845754,1
14,330101,3,0,NotAVase,0.02693436,2,4,0.02693436,39,20221117-153358,154854934,154855922,0.9880004,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343600   Staircase is 0.0202007700,-1,154855558,1
14,330101,3,1,NotAVase,0.02020077,3,4,0.02020077,40,20221117-153358,154904857,154907429,2.572001,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007700   Staircase is 0.0269343600,1,154905606,1
14,330101,3,0,NotAVase,0.02693436,3,5,0.02693436,41,20221117-153358,154916151,154917025,0.8740008,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343600   Staircase is 0.0202007700,-1,154916686,1
14,330101,3,0,NotAVase,0.02020077,3,6,0.02020077,42,20221117-153358,154925471,154926508,1.037,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007700   Staircase is 0.0151505800,-1,154925992,1
14,330101,3,1,NotAVase,0.01515058,4,6,0.01515058,43,20221117-153358,154935756,154937195,1.439002,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151505800   Staircase is 0.0202007700,1,154936798,1
14,330101,3,0,NotAVase,0.02020077,4,7,0.02020077,44,20221117-153358,154946018,154946846,0.8280017,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007700   Staircase is 0.0151505800,-1,154946450,1
15,333,0,NoAnswerInTime,NotAVase,,,,,,20221117-153358,154947620,154957618,-1,333,,"",0,,1
0,1,0,0,NotAVase,,,,,,20221117-155610,155711276,155711769,0.4930003,9992,,"",0,,1
1,221019,0,0,NotAVase,5.76,0,1,-4.05,1,20221117-155610,155721259,155722599,1.34,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 5.7600000000   Staircase is 5.1840000000,-1,155721899,1
1,221019,0,0,NotAVase,5.184,0,2,-4.626,2,20221117-155610,155759057,155800371,1.314001,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 5.1840000000   Staircase is 4.6656000000,-1,155759743,1
2,221017,0,0,NotAVase,4.896,0,1,-4.914001,3,20221117-155610,155808659,155809656,0.9970004,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.8960000000   Staircase is 4.4064000000,-1,155809291,1
3,2210101,1,0,NotAVase,4.1616,0,1,-5.6484,4,20221117-155610,155819477,155820459,0.9819999,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000,-1,155820137,1
3,2210101,1,0,NotAVase,3.74544,0,2,-6.06456,5,20221117-155610,155829261,155832233,2.972002,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 3.3708960000,-1,155831533,1
3,2210101,1,1,NotAVase,3.370896,1,2,-6.439104,6,20221117-155610,155841455,155844396,2.941002,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.3708960000   Staircase is 3.7454400000,1,155843533,1
3,2210101,1,0,NotAVase,3.74544,1,3,-6.06456,7,20221117-155610,155853340,155855324,1.984001,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 3.3708960000,-1,155854746,1
3,2210101,1,1,NotAVase,3.370896,2,3,-6.439104,8,20221117-155610,155904201,155907640,3.439002,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.3708960000   Staircase is 3.7454400000,1,155905668,1
3,2210101,1,0,NotAVase,3.74544,2,4,-6.06456,9,20221117-155610,155932955,155934550,1.595001,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 3.3708960000,-1,155934190,1
3,2210101,1,1,NotAVase,3.370896,3,4,-6.439104,10,20221117-155610,155943707,155944711,1.004001,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.3708960000   Staircase is 3.7454400000,1,155944182,1
3,2210101,1,1,NotAVase,3.74544,4,4,-6.06456,11,20221117-155610,155954369,155956330,1.961002,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 4.1616000000,1,155955857,1
3,2210101,1,0,NotAVase,4.1616,4,5,-5.6484,12,20221117-155610,160005953,160006889,0.936001,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000,-1,160006563,1
3,2210101,1,0,NotAVase,3.74544,4,6,-6.06456,13,20221117-155610,160015993,160017260,1.267002,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 3.3708960000,-1,160016955,1
3,2210101,1,1,NotAVase,3.370896,5,6,-6.439104,14,20221117-155610,160026044,160027661,1.617,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.3708960000   Staircase is 3.7454400000,1,160027339,1
