X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
4,3010201,1,1,NotAVase,-1.656952,2,6,-1.656952,11,20230223-120652,120858799,120859620,0.8210163,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -1.6569520000   Staircase is -2.5491570000,1,120859232,1
4,3010201,1,1,NotAVase,-2.549157,3,6,-2.549157,12,20230223-120652,120908478,120909360,0.8819484,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -2.5491570000   Staircase is -3.9217800000,1,120909000,1
4,3010201,1,0,NotAVase,-3.92178,3,7,-3.92178,13,20230223-120652,120918154,120919100,0.9459012,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -3.9217800000   Staircase is -2.5491570000,-1,120918828,1
4,3010201,1,1,NotAVase,-2.549157,4,7,-2.549157,14,20230223-120652,120927748,120928674,0.925817,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -2.5491570000   Staircase is -3.9217800000,1,120928283,1
4,3010201,1,1,NotAVase,-3.92178,5,7,-3.92178,15,20230223-120652,120937339,120938192,0.8528503,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -3.9217800000   Staircase is -6.0335080000,1,120937928,1
4,3010201,1,1,NotAVase,-6.033508,6,7,-6.033508,16,20230223-120652,120948268,120950163,1.895027,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -6.0335080000   Staircase is -9.2823200000,1,120949356,1
4,3010201,1,0,NotAVase,-9.28232,6,8,-9.28232,17,20230223-120652,121000304,121001193,0.8887527,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -9.2823200000   Staircase is -6.0335080000,-1,121000850,1
4,3010201,1,0,NotAVase,-6.033508,6,9,-6.033508,18,20230223-120652,121010226,121010762,0.535322,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -6.0335080000   Staircase is -3.9217800000,-1,121010521,1
4,3010201,1,0,NotAVase,-3.92178,6,10,-3.92178,19,20230223-120652,121019506,121020358,0.8511302,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -3.9217800000   Staircase is -2.5491570000,-1,121020089,1
4,3010201,1,1,NotAVase,-2.549157,7,10,-2.549157,20,20230223-120652,121030546,121031656,1.109811,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -2.5491570000   Staircase is -3.9217800000,1,121031202,1
5,99,0,NoAnswerInTime,NotAVase,,,,,,20230223-120652,121032505,121037498,-1,50,,"",0,,1
6,222029,0,0,NotAVase,-13.824,0,1,-23.634,21,20230223-120652,121057342,121058700,1.358379,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -13.8240000000   Staircase is -11.7504000000,-1,121058371,1
6,222029,0,0,NotAVase,-11.7504,0,2,-21.5604,22,20230223-120652,121107861,121108696,0.8342324,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -11.7504000000   Staircase is -9.9878400000,-1,121108394,1
7,222027,0,0,NotAVase,-11.7504,0,1,-21.5604,23,20230223-120652,121117214,121117853,0.6388305,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -11.7504000000   Staircase is -9.9878400000,-1,121117600,1
8,2220201,2,0,NotAVase,-9.98784,0,1,-19.79784,24,20230223-120652,121126431,121127376,0.9445693,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -9.9878400000   Staircase is -8.4896640000,-1,121126820,1
8,2220201,2,0,NotAVase,-8.489664,0,2,-18.29966,25,20230223-120652,121136021,121136648,0.6275071,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -8.4896640000   Staircase is -7.2162150000,-1,121136349,1
8,2220201,2,0,NotAVase,-7.216215,0,3,-17.02621,26,20230223-120652,121145995,121146607,0.6122883,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -7.2162150000   Staircase is -6.1337830000,-1,121146310,1
8,2220201,2,1,NotAVase,-6.133783,1,3,-15.94378,27,20230223-120652,121158630,121203316,4.685751,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -6.1337830000   Staircase is -7.2162150000,-1,121200977,1
8,2220201,2,0,NotAVase,-7.216215,1,4,-17.02621,28,20230223-120652,121212157,121212901,0.7436698,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -7.2162150000   Staircase is -6.1337830000,-1,121212559,1
8,2220201,2,0,NotAVase,-6.133783,1,5,-15.94378,29,20230223-120652,121222407,121223374,0.9675978,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -6.1337830000   Staircase is -5.2137160000,-1,121212559,1
8,2220201,2,1,NotAVase,-5.213716,2,5,-15.02372,30,20230223-120652,121232903,121234214,1.310678,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -5.2137160000   Staircase is -6.1337830000,1,121233494,1
8,2220201,2,1,NotAVase,-6.133783,3,5,-15.94378,31,20230223-120652,121243299,121244298,0.9992355,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -6.1337830000   Staircase is -7.2162150000,1,121243979,1
8,2220201,2,0,NotAVase,-7.216215,3,6,-17.02621,32,20230223-120652,121253363,121254002,0.6392897,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -7.2162150000   Staircase is -6.1337830000,-1,121253715,1
8,2220201,2,1,NotAVase,-6.133783,4,6,-15.94378,33,20230223-120652,121303038,121304022,0.9843951,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -6.1337830000   Staircase is -7.2162150000,1,121303750,1
8,2220201,2,0,NotAVase,-7.216215,4,7,-17.02621,34,20230223-120652,121312869,121313696,0.8272646,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -7.2162150000   Staircase is -6.1337830000,-1,121313204,1
9,99,0,NoAnswerInTime,NotAVase,,,,,,20230223-120652,121314514,121319515,-1,50,,"",0,,1
10,302029,0,0,NotAVase,52,0,1,52,35,20230223-120652,121327654,121328422,0.7682417,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 52.0000000000   Staircase is 33.8000000000,-1,121328074,1
10,302029,0,0,NotAVase,33.8,0,2,33.8,36,20230223-120652,121338594,121339373,0.7785831,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 33.8000000000   Staircase is 21.9700000000,-1,121339066,1
11,302027,0,0,NotAVase,33.8,0,1,33.8,37,20230223-120652,121349458,121350602,1.144179,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 33.8000000000   Staircase is 21.9700000000,-1,121350274,1
12,3020201,3,0,NotAVase,21.97,0,1,21.97,38,20230223-120652,121359133,121359798,0.6656422,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 21.9700000000   Staircase is 14.2805000000,-1,121359597,1
12,3020201,3,0,NotAVase,14.2805,0,2,14.2805,39,20230223-120652,121410023,121410837,0.8137857,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 14.2805000000   Staircase is 9.2823250000,-1,121410557,1
12,3020201,3,0,NotAVase,9.282325,0,3,9.282325,40,20230223-120652,121420263,121421133,0.8700444,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 9.2823250000   Staircase is 6.0335110000,-1,121420820,1
12,3020201,3,1,NotAVase,6.033511,1,3,6.033511,41,20230223-120652,121430315,121432050,1.735285,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 6.0335110000   Staircase is 9.2823250000,1,121431644,1
12,3020201,3,1,NotAVase,9.282325,2,3,9.282325,42,20230223-120652,121440591,121441391,0.7994838,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 9.2823250000   Staircase is 14.2805000000,1,121441113,1
12,3020201,3,0,NotAVase,14.2805,2,4,14.2805,43,20230223-120652,121450528,121451242,0.7136161,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 14.2805000000   Staircase is 9.2823250000,-1,121450940,1
12,3020201,3,0,NotAVase,9.282325,2,5,9.282325,44,20230223-120652,121500438,121501359,0.9203381,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 9.2823250000   Staircase is 6.0335110000,-1,121501072,1
12,3020201,3,1,NotAVase,6.033511,3,5,6.033511,45,20230223-120652,121510177,121511100,0.9229761,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 6.0335110000   Staircase is 9.2823250000,1,121510743,1
12,3020201,3,0,NotAVase,9.282325,3,6,9.282325,46,20230223-120652,121519647,121522461,2.81418,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 9.2823250000   Staircase is 6.0335110000,-1,121521407,1
12,3020201,3,1,NotAVase,6.033511,4,6,6.033511,47,20230223-120652,121531152,121531876,0.7242402,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 6.0335110000   Staircase is 9.2823250000,1,121531569,1
12,3020201,3,1,NotAVase,9.282325,5,6,9.282325,48,20230223-120652,121540275,121541208,0.9333792,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 9.2823250000   Staircase is 14.2805000000,1,121540900,1
12,3020201,3,0,NotAVase,14.2805,5,7,14.2805,49,20230223-120652,121549786,121551169,1.383735,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 14.2805000000   Staircase is 9.2823250000,1,121550290,1
13,99,0,NoAnswerInTime,NotAVase,,,,,,20230223-120652,121551990,121556990,-1,50,,"",0,,1
14,601019,0,0,NotAVase,-0.315,0,1,-0.315,50,20230223-120652,121605152,121606241,1.089493,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.3150000000   Staircase is -0.2047500000,-1,121605790,1
14,601019,0,0,NotAVase,-0.20475,0,2,-0.20475,51,20230223-120652,121616494,121617659,1.164902,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.2047500000   Staircase is -0.1330875000,-1,121617071,1
15,601017,0,0,NotAVase,-0.2205,0,1,-0.2205,52,20230223-120652,121626144,121626883,0.7382813,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.2205000000   Staircase is -0.1433250000,-1,121626655,1
16,6010101,4,0,NotAVase,-0.15435,0,1,-0.15435,53,20230223-120652,121635456,121636196,0.7403041,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1543500000   Staircase is -0.1080450000,-1,121635949,1
16,6010101,4,0,NotAVase,-0.108045,0,2,-0.108045,54,20230223-120652,121644624,121645625,1.000292,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1080450000   Staircase is -0.0756315000,-1,121645379,1
16,6010101,4,0,NotAVase,-0.0756315,0,3,-0.0756315,55,20230223-120652,121655519,121656564,1.045101,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0756315000   Staircase is -0.0529420500,-1,121656302,1
16,6010101,4,1,NotAVase,-0.05294205,1,3,-0.05294205,56,20230223-120652,121705224,121706115,0.8909889,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0529420500   Staircase is -0.0756315000,1,121705826,1
16,6010101,4,1,NotAVase,-0.0756315,2,3,-0.0756315,57,20230223-120652,121715003,121715844,0.8414169,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0756315000   Staircase is -0.1080450000,1,121715489,1
16,6010101,4,0,NotAVase,-0.108045,2,4,-0.108045,58,20230223-120652,121725850,121726862,1.01162,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1080450000   Staircase is -0.0756315000,-1,121726597,1
16,6010101,4,0,NotAVase,-0.0756315,2,5,-0.0756315,59,20230223-120652,121739028,121739745,0.7174546,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0756315000   Staircase is -0.0529420500,-1,121739455,1
16,6010101,4,1,NotAVase,-0.05294205,3,5,-0.05294205,60,20230223-120652,121753217,121755815,2.598009,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0529420500   Staircase is -0.0756315000,-1,121754264,1
16,6010101,4,1,NotAVase,-0.0756315,4,5,-0.0756315,61,20230223-120652,121804253,121805955,1.701589,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0756315000   Staircase is -0.1080450000,1,121805468,1
16,6010101,4,0,NotAVase,-0.108045,4,6,-0.108045,62,20230223-120652,121814443,121815273,0.829722,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1080450000   Staircase is -0.0756315000,-1,121815054,1
16,6010101,4,0,NotAVase,-0.0756315,4,7,-0.0756315,63,20230223-120652,121825038,121825679,0.6410676,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0756315000   Staircase is -0.0529420500,-1,121825379,1
16,6010101,4,1,NotAVase,-0.05294205,5,7,-0.05294205,64,20230223-120652,121834229,121834886,0.6567538,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0529420500   Staircase is -0.0756315000,1,121834554,1
16,6010101,4,1,NotAVase,-0.0756315,6,7,-0.0756315,65,20230223-120652,121843111,121843968,0.8570813,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0756315000   Staircase is -0.1080450000,1,121843616,1
16,6010101,4,0,NotAVase,-0.108045,6,8,-0.108045,66,20230223-120652,121852550,121853357,0.8067358,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1080450000   Staircase is -0.0756315000,-1,121853072,1
17,99,0,NoAnswerInTime,NotAVase,,,,,,20230223-120652,121854182,121859187,-1,50,,"",0,,1
18,33029,0,0,NotAVase,0.085,0,1,0.085,67,20230223-120652,121907243,121908316,1.073025,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0850000000   Staircase is 0.0552500000,-1,121908010,1
18,33029,0,0,NotAVase,0.05525,0,2,0.05525,68,20230223-120652,121917377,121918191,0.8145282,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0552500000   Staircase is 0.0359125000,-1,121917835,1
19,33027,0,0,NotAVase,0.05525,0,1,0.05525,69,20230223-120652,121927339,121928041,0.7024072,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0552500000   Staircase is 0.0359125000,-1,121927751,1
20,330201,5,0,NotAVase,0.0359125,0,1,0.0359125,70,20230223-120652,121936695,121937692,0.9970832,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0359125000   Staircase is 0.0233431200,-1,121937266,1
20,330201,5,0,NotAVase,0.02334312,0,2,0.02334312,71,20230223-120652,121947457,121948287,0.829832,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0233431200   Staircase is 0.0151730300,-1,121947906,1
20,330201,5,0,NotAVase,0.01517303,0,3,0.01517303,72,20230223-120652,121956950,121957661,0.7112069,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151730300   Staircase is 0.0098624700,-1,121957383,1
20,330201,5,1,NotAVase,0.00986247,1,3,0.00986247,73,20230223-120652,122010360,122011644,1.283833,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0098624700   Staircase is 0.0151730300,1,122011251,1
20,330201,5,0,NotAVase,0.01517303,1,4,0.01517303,74,20230223-120652,122020538,122021462,0.923246,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151730300   Staircase is 0.0098624700,-1,122021002,1
20,330201,5,0,NotAVase,0.00986247,1,5,0.00986247,75,20230223-120652,122030574,122031601,1.027137,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0098624700   Staircase is 0.0064106060,-1,122031126,1
20,330201,5,1,NotAVase,0.006410606,2,5,0.006410606,76,20230223-120652,122040044,122040987,0.9432373,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0064106060   Staircase is 0.0098624710,1,122040597,1
20,330201,5,0,NotAVase,0.009862471,2,6,0.009862471,77,20230223-120652,122051164,122052484,1.319711,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0098624710   Staircase is 0.0064106060,-1,122052150,1
20,330201,5,1,NotAVase,0.006410606,3,6,0.006410606,78,20230223-120652,122103071,122103965,0.8942722,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0064106060   Staircase is 0.0098624710,1,122103597,1
20,330201,5,1,NotAVase,0.009862471,4,6,0.009862471,79,20230223-120652,122112777,122113894,1.116544,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0098624710   Staircase is 0.0151730300,1,122113563,1
20,330201,5,0,NotAVase,0.01517303,4,7,0.01517303,80,20230223-120652,122122695,122123911,1.216294,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151730300   Staircase is 0.0098624700,-1,122123551,1
21,99,0,NoAnswerInTime,NotAVase,,,,,,20230223-120652,122124737,122129731,-1,50,,"",0,,1
22,602019,0,0,NotAVase,0.10804,0,1,0.10804,81,20230223-120652,123217020,123218455,1.434938,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1080400000   Staircase is 0.0702260000,-1,123218010,1
22,602019,0,0,NotAVase,0.070226,0,2,0.070226,82,20230223-120652,123228526,123229939,1.412694,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0702260000   Staircase is 0.0456469000,-1,123229508,1
23,602017,0,0,NotAVase,0.07563143,0,1,0.07563143,83,20230223-120652,123238658,123239635,0.9766608,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0756314300   Staircase is 0.0491604300,-1,123235081,1
24,6020101,6,0,NotAVase,0.052942,0,1,0.052942,84,20230223-120652,123248238,123249164,0.9258444,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0529420000   Staircase is 0.0370594000,-1,123248774,1
24,6020101,6,0,NotAVase,0.0370594,0,2,0.0370594,85,20230223-120652,123258205,123259044,0.8394574,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0370594000   Staircase is 0.0259415800,-1,123258681,1
24,6020101,6,0,NotAVase,0.02594158,0,3,0.02594158,86,20230223-120652,123307715,123308566,0.8517228,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0259415800   Staircase is 0.0181591100,-1,123258680,1
24,6020101,6,1,NotAVase,0.01815911,1,3,0.01815911,87,20230223-120652,123317226,123317968,0.7423616,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0181591100   Staircase is 0.0259415900,1,123317535,1
24,6020101,6,1,NotAVase,0.02594159,2,3,0.02594159,88,20230223-120652,123326821,123327669,0.8476506,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0259415900   Staircase is 0.0370594200,1,123327277,1
24,6020101,6,0,NotAVase,0.03705942,2,4,0.03705942,89,20230223-120652,123336392,123337310,0.9177348,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0370594200   Staircase is 0.0259415900,-1,123336853,1
24,6020101,6,0,NotAVase,0.02594159,2,5,0.02594159,90,20230223-120652,123346303,123347315,1.012102,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0259415900   Staircase is 0.0181591100,-1,123347007,1
24,6020101,6,0,NotAVase,0.01815911,2,6,0.01815911,91,20230223-120652,123355902,123356856,0.9544871,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0181591100   Staircase is 0.0127113800,-1,123356432,1
24,6020101,6,0,NotAVase,0.01271138,2,7,0.01271138,92,20230223-120652,123406729,123407440,0.7108427,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0127113800   Staircase is 0.0088979660,-1,123407105,1
24,6020101,6,1,NotAVase,0.008897966,3,7,0.008897966,93,20230223-120652,123415699,123416503,0.8046161,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0088979660   Staircase is 0.0127113800,1,123416224,1
24,6020101,6,1,NotAVase,0.01271138,4,7,0.01271138,94,20230223-120652,123425357,123426110,0.7531399,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0127113800   Staircase is 0.0181591100,1,123425795,1
24,6020101,6,1,NotAVase,0.01815911,5,7,0.01815911,95,20230223-120652,123434756,123435495,0.7388147,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0181591100   Staircase is 0.0259415900,1,123435177,1
24,6020101,6,0,NotAVase,0.02594159,5,8,0.02594159,96,20230223-120652,123443972,123444585,0.6129896,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0259415900   Staircase is 0.0181591100,-1,123444256,1
24,6020101,6,0,NotAVase,0.01815911,5,9,0.01815911,97,20230223-120652,123452953,123454385,1.43181,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0181591100   Staircase is 0.0127113800,-1,123454020,1
24,6020101,6,0,NotAVase,0.01271138,5,10,0.01271138,98,20230223-120652,123502584,123503256,0.6711803,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0127113800   Staircase is 0.0088979660,-1,123503000,1
24,6020101,6,1,NotAVase,0.008897966,6,10,0.008897966,99,20230223-120652,123511422,123512356,0.9340841,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0088979660   Staircase is 0.0127113800,1,123512009,1
24,6020101,6,0,NotAVase,0.01271138,6,11,0.01271138,100,20230223-120652,123520665,123523895,3.229578,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0127113800   Staircase is 0.0088979660,-1,123521227,1
25,99,0,NoAnswerInTime,NotAVase,,,,,,20230223-120652,123524705,123529703,-1,50,,"",0,,1
26,29029,0,0,NotAVase,0.6,0,1,0.6,101,20230223-120652,123539034,123540332,1.298019,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.6000000000   Staircase is 0.3900000000,-1,123539960,1
26,29029,0,0,NotAVase,0.39,0,2,0.39,102,20230223-120652,123549582,123550694,1.11143,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3900000000   Staircase is 0.2535000000,-1,123550230,1
27,29027,0,0,NotAVase,0.39,0,1,0.39,103,20230223-120652,123559823,123600677,0.8540701,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3900000000   Staircase is 0.2535000000,-1,123600400,1
28,290201,7,0,NotAVase,0.2535,0,1,0.2535,104,20230223-120652,123609311,123610096,0.7849013,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1647750000,-1,123609717,1
28,290201,7,0,NotAVase,0.164775,0,2,0.164775,105,20230223-120652,123619295,123620126,0.8317101,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1647750000   Staircase is 0.1071037000,-1,123619723,1
28,290201,7,0,NotAVase,0.1071037,0,3,0.1071037,106,20230223-120652,123628961,123630055,1.093706,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1071037000   Staircase is 0.0696174000,-1,123629694,1
28,290201,7,1,NotAVase,0.0696174,1,3,0.0696174,107,20230223-120652,123640221,123641250,1.028506,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0696174000   Staircase is 0.1071037000,1,123640952,1
28,290201,7,0,NotAVase,0.1071037,1,4,0.1071037,108,20230223-120652,123649943,123650553,0.6098131,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1071037000   Staircase is 0.0696174000,-1,123650346,1
28,290201,7,0,NotAVase,0.0696174,1,5,0.0696174,109,20230223-120652,123701197,123702385,1.18752,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0696174000   Staircase is 0.0452513100,-1,123701898,1
28,290201,7,1,NotAVase,0.04525131,2,5,0.04525131,110,20230223-120652,123711610,123712337,0.7261477,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0452513100   Staircase is 0.0696174100,1,123712058,1
28,290201,7,1,NotAVase,0.06961741,3,5,0.06961741,111,20230223-120652,123721532,123722787,1.255816,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0696174100   Staircase is 0.1071037000,1,123722522,1
28,290201,7,0,NotAVase,0.1071037,3,6,0.1071037,112,20230223-120652,123731355,123732217,0.8613127,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1071037000   Staircase is 0.0696174000,-1,123731913,1
28,290201,7,0,NotAVase,0.0696174,3,7,0.0696174,113,20230223-120652,123741597,123743289,1.692268,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0696174000   Staircase is 0.0452513100,-1,123742785,1
28,290201,7,1,NotAVase,0.04525131,4,7,0.04525131,114,20230223-120652,123752210,123753040,0.8297865,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0452513100   Staircase is 0.0696174100,1,123752738,1
28,290201,7,1,NotAVase,0.06961741,5,7,0.06961741,115,20230223-120652,123801830,123802569,0.7392567,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0696174100   Staircase is 0.1071037000,1,123802315,1
